"","Site","LATITUDE","LONGITUDE"
"1","N1",8.69973,134.686003333333
"2","N3",9.12187666666667,135.029303333333
"3","S1",6.47425333333333,133.816693333333
"4","S2",7.02778333333333,133.284433333333
"5","S3",6.29026666666667,133.45957
"6","S4",6.03312333333333,134.16042
"7","W4",7.25307666666667,133.48929
